term,score,polarity,freq_misogynistic,freq_non_misogynistic,total_freq,log_ratio
pirralh,21.5419,misogynistic,114,3,117,4.5155
fuf,16.9178,misogynistic,114,10,124,3.5039
gord_fei,13.2451,misogynistic,90,16,106,2.8345
mulh_burr,11.6606,misogynistic,66,14,80,2.6535
globolix,10.7976,misogynistic,31,4,35,3.0131
fei_gord,10.0954,misogynistic,69,23,92,2.2273
dia_sapat,9.5461,misogynistic,12,0,12,3.7217
hom_hom,9.4311,misogynistic,27,5,32,2.6973
milici,9.1416,misogynistic,18,2,20,3.0026
sapat,8.7107,misogynistic,176,121,297,1.529
burr_mulh,8.5635,misogynistic,23,5,28,2.5431
pod_gord,8.4023,misogynistic,13,1,14,3.1027
propin,8.3324,misogynistic,22,5,27,2.5006
sapata,7.9749,misogynistic,88,56,144,1.6024
carniç,7.9655,misogynistic,9,0,9,3.4594
esquerdopat,7.6302,misogynistic,37,17,54,1.9041
pod_fei,7.5629,misogynistic,11,1,12,2.9486
bachelet,7.4784,misogynistic,13,2,15,2.6973
fantoch,7.3695,misogynistic,8,0,8,3.354
pastor,7.2714,misogynistic,50,30,80,1.6547
glob_lix,7.1895,misogynistic,19,6,25,2.2067
joic,7.1667,misogynistic,61,41,102,1.5463
feminaz,7.1037,misogynistic,12,2,14,2.6232
piranh,6.947,misogynistic,88,71,159,1.3688
trai,6.8082,misogynistic,36,21,57,1.6767
crápul,6.7295,misogynistic,7,0,7,3.2362
cuid_burr,6.6332,misogynistic,9,1,10,2.7663
demôni,6.6282,misogynistic,28,15,43,1.7515
congress,6.6066,misogynistic,43,29,72,1.5398
cade,6.4401,misogynistic,77,67,144,1.294
traír,6.3197,misogynistic,13,4,17,2.1865
put_aguent,6.2998,misogynistic,10,2,12,2.4561
facist,6.2998,misogynistic,10,2,12,2.4561
vad,6.2754,misogynistic,18,8,26,1.9041
noj_dess,6.2754,misogynistic,18,8,26,1.9041
gord,6.2698,misogynistic,268,319,587,0.9832
saf,6.1744,misogynistic,70,63,133,1.2606
cart_capit,6.1269,misogynistic,8,1,9,2.6609
fei_pod,6.1078,misogynistic,11,3,14,2.2554
luladr,6.1078,misogynistic,11,3,14,2.2554
muçulm,6.0854,misogynistic,33,23,56,1.5051
cromoss,6.0376,misogynistic,6,0,6,3.1027
calhord,6.0376,misogynistic,6,0,6,3.1027
ordin,6.0376,misogynistic,6,0,6,3.1027
biscat,6.0376,misogynistic,6,0,6,3.1027
incompet,5.9847,misogynistic,12,4,16,2.1123
aceit_refugi,5.9847,misogynistic,12,4,16,2.1123
imund,5.9137,misogynistic,24,15,39,1.6031
caduc,5.8664,misogynistic,9,2,11,2.3608
esquerdalh,5.7217,misogynistic,20,12,32,1.6364
isl_aqu,5.5878,misogynistic,7,1,8,2.5431
phot,5.5878,misogynistic,7,1,8,2.5431
leilan,5.5878,misogynistic,7,1,8,2.5431
nojent,5.5626,misogynistic,49,46,95,1.2187
arrot,5.4083,misogynistic,8,2,10,2.2554
emis,5.4083,misogynistic,8,2,10,2.2554
car_gord,5.4083,misogynistic,8,2,10,2.2554
dia_mulh,5.3814,misogynistic,79,88,167,1.0502
verm,5.375,misogynistic,55,56,111,1.1391
badern,5.3174,misogynistic,9,3,12,2.0731
camb,5.3092,misogynistic,20,14,34,1.4933
abutr,5.2831,misogynistic,5,0,5,2.9485
insinu,5.2831,misogynistic,5,0,5,2.9485
pep,5.2831,misogynistic,5,0,5,2.9485
gentalh,5.2414,misogynistic,11,5,16,1.85
sh,5.2289,misogynistic,14,8,22,1.6677
desgovern,5.2258,misogynistic,13,7,20,1.7165
femin,5.1572,misogynistic,150,198,348,0.8808
canalh,5.0551,misogynistic,95,118,213,0.9421
ladr,5.0222,misogynistic,44,46,90,1.1134
dével,5.0106,misogynistic,6,1,7,2.4096
feminazil,5.0106,misogynistic,6,1,7,2.4096
comun,4.9343,misogynistic,83,103,186,0.9433
vai_cuid,4.9221,misogynistic,7,2,9,2.1377
tud_burr,4.9221,misogynistic,7,2,9,2.1377
rebeld,4.9221,misogynistic,7,2,9,2.1377
jaul,4.9221,misogynistic,7,2,9,2.1377
cri_vergonh,4.9221,misogynistic,7,2,9,2.1377
otár,4.9221,misogynistic,7,2,9,2.1377
lésb,4.9016,misogynistic,11,6,17,1.6958
silvi,4.8897,misogynistic,8,3,11,1.9678
vot_ness,4.8897,misogynistic,8,3,11,1.9678
band,4.8884,misogynistic,179,255,434,0.8046
bandid,4.888,misogynistic,10,5,15,1.763
desinform,4.8822,misogynistic,9,4,13,1.85
jument,4.7609,misogynistic,15,11,26,1.4445
podr,4.709,misogynistic,37,40,77,1.0809
burr,4.6979,misogynistic,321,508,829,0.6989
gret,4.6933,misogynistic,22,20,42,1.2478
felici,4.6823,misogynistic,13,9,22,1.4933
imbecil,4.6631,misogynistic,56,68,124,0.9658
pra_cade,4.6416,misogynistic,12,8,20,1.5246
mulh_dia,4.5581,misogynistic,10,6,16,1.6088
gord_pod,4.5581,misogynistic,10,6,16,1.6088
orgulh_heter,4.5161,misogynistic,9,5,14,1.6677
mulh_pra,4.4961,misogynistic,14,11,25,1.38
branc_pod,4.4749,misogynistic,8,4,12,1.7446
devolv_dinh,4.4749,misogynistic,8,4,12,1.7446
nad_contr,4.4567,misogynistic,17,15,32,1.2746
esquerd,4.4412,misogynistic,195,304,499,0.7146
mulh_caus,4.436,misogynistic,7,3,10,1.85
vigar,4.436,misogynistic,7,3,10,1.85
decot,4.436,misogynistic,7,3,10,1.85
pro_infern,4.436,misogynistic,7,3,10,1.85
put_surr,4.4035,misogynistic,6,2,8,2.0041
gayz,4.4035,misogynistic,6,2,8,2.0041
sapata_pra,4.4035,misogynistic,6,2,8,2.0041
negr_vão,4.4035,misogynistic,6,2,8,2.0041
burr_pod,4.4035,misogynistic,6,2,8,2.0041
cans_vergonh,4.4035,misogynistic,6,2,8,2.0041
vão_trabalh,4.4035,misogynistic,6,2,8,2.0041
diz_pastor,4.4035,misogynistic,6,2,8,2.0041
pra_cub,4.4035,misogynistic,6,2,8,2.0041
usa_sai,4.4035,misogynistic,6,2,8,2.0041
repugn,4.4035,misogynistic,6,2,8,2.0041
criat,4.4024,misogynistic,16,14,30,1.282
bac,4.3889,misogynistic,5,1,6,2.2554
ineleg,4.3889,misogynistic,5,1,6,2.2554
barbar,4.3889,misogynistic,5,1,6,2.2554
chil,4.3889,misogynistic,5,1,6,2.2554
homossexu,4.3889,misogynistic,5,1,6,2.2554
pulh,4.3889,misogynistic,5,1,6,2.2554
satan,4.3274,misogynistic,11,8,19,1.4445
pelud,4.3274,misogynistic,11,8,19,1.4445
terror,4.3115,misogynistic,34,40,74,0.9986
evangél,4.2844,misogynistic,14,12,26,1.2999
maric,4.2641,misogynistic,10,7,17,1.4753
social,4.2641,misogynistic,10,7,17,1.4753
sujeit,4.2382,misogynistic,19,19,38,1.1568
ter_pen,4.1963,misogynistic,9,6,15,1.5135
dev_pres,4.1963,misogynistic,9,6,15,1.5135
mulh,4.1572,misogynistic,543,980,1523,0.5672
incentiv,4.123,misogynistic,8,5,13,1.5623
noj,4.0714,misogynistic,65,93,158,0.8032
fal_beste,4.0425,misogynistic,7,4,11,1.6268
cadel,4.0105,misogynistic,13,12,25,1.2309
mandat,3.9971,misogynistic,10,8,18,1.3575
doi_am,3.9523,misogynistic,6,3,9,1.7164
trist_ver,3.9523,misogynistic,6,3,9,1.7164
asquer,3.8954,misogynistic,14,14,28,1.1568
boz,3.8954,misogynistic,14,14,28,1.1568
picaret,3.8469,misogynistic,5,2,7,1.85
siti,3.8469,misogynistic,5,2,7,1.85
aja,3.8469,misogynistic,5,2,7,1.85
fantasi,3.8469,misogynistic,5,2,7,1.85
ladra,3.8469,misogynistic,5,2,7,1.85
hom_mulh,3.8448,misogynistic,11,10,21,1.2438
nad_vid,3.8133,misogynistic,8,6,14,1.4081
ibop,3.8133,misogynistic,8,6,14,1.4081
volt_terr,3.8133,misogynistic,8,6,14,1.4081
tet,3.74,misogynistic,20,24,44,0.9825
corrupt,3.7356,misogynistic,61,93,154,0.7407
beste,3.7151,misogynistic,14,15,29,1.0923
rat,3.7151,misogynistic,14,15,29,1.0923
incompat,3.7145,misogynistic,4,1,5,2.0731
responsabil,3.7145,misogynistic,4,1,5,2.0731
pinic,3.7145,misogynistic,4,1,5,2.0731
fuj,3.7145,misogynistic,4,1,5,2.0731
serp,3.7145,misogynistic,4,1,5,2.0731
intencion,3.7145,misogynistic,4,1,5,2.0731
riqu,3.7051,misogynistic,7,5,12,1.4445
vergonh,3.6731,misogynistic,160,279,439,0.6035
crimin,3.6548,misogynistic,43,63,106,0.7821
hipocris,3.652,misogynistic,27,36,63,0.8781
petralh,3.6482,misogynistic,9,8,17,1.2622
hipócrit,3.6185,misogynistic,28,38,66,0.8606
corj,3.5877,misogynistic,29,40,69,0.8445
vai_pres,3.5808,misogynistic,6,4,10,1.4933
con,3.5808,misogynistic,6,4,10,1.4933
escór,3.5808,misogynistic,6,4,10,1.4933
glob,3.5541,misogynistic,78,128,206,0.6665
refugi,3.5377,misogynistic,108,185,293,0.6224
incit,3.522,misogynistic,10,10,20,1.1568
mulh_bonit,3.522,misogynistic,10,10,20,1.1568
band_corrupt,3.4327,misogynistic,5,3,8,1.5623
artific,3.4327,misogynistic,5,3,8,1.5623
qu_refugi,3.4327,misogynistic,5,3,8,1.5623
gost_burr,3.4327,misogynistic,5,3,8,1.5623
mulh_parec,3.4327,misogynistic,5,3,8,1.5623
porqu_band,3.4327,misogynistic,5,3,8,1.5623
próx_ele,3.4327,misogynistic,5,3,8,1.5623
pers,3.4327,misogynistic,5,3,8,1.5623
rac_invers,3.4327,misogynistic,5,3,8,1.5623
min_fal,3.4327,misogynistic,5,3,8,1.5623
mulh_intelig,3.4327,misogynistic,5,3,8,1.5623
gost_mulh,3.4327,misogynistic,5,3,8,1.5623
oa,3.4327,misogynistic,5,3,8,1.5623
incub,3.4327,misogynistic,5,3,8,1.5623
desequilibr,3.4327,misogynistic,5,3,8,1.5623
bolsonar_precis,3.4327,misogynistic,5,3,8,1.5623
psicopat,3.4221,misogynistic,11,12,23,1.0768
asn,3.4062,misogynistic,9,9,18,1.1568
joyc,3.4062,misogynistic,9,9,18,1.1568
pedófil,3.4062,misogynistic,9,9,18,1.1568
asc,3.4062,misogynistic,9,9,18,1.1568
azed,3.4054,misogynistic,7,6,13,1.2904
bom_band,3.4054,misogynistic,7,6,13,1.2904
bab_ovo,3.4054,misogynistic,7,6,13,1.2904
band_bom,3.4054,misogynistic,7,6,13,1.2904
conden,3.3202,misogynistic,29,43,72,0.7738
parlament,3.3069,misogynistic,10,11,21,1.0698
tom_vergonh,3.3069,misogynistic,10,11,21,1.0698
cretin,3.2702,misogynistic,16,21,37,0.899
defend_band,3.2577,misogynistic,6,5,11,1.311
afund,3.2577,misogynistic,6,5,11,1.311
famíl_tradic,3.2577,misogynistic,6,5,11,1.311
psl,3.2577,misogynistic,6,5,11,1.311
fême,3.2451,misogynistic,4,2,6,1.6677
suvac,3.2451,misogynistic,4,2,6,1.6677
fach,3.2451,misogynistic,4,2,6,1.6677
monic,3.2451,misogynistic,4,2,6,1.6677
enrust,3.2451,misogynistic,4,2,6,1.6677
terês,3.2451,misogynistic,4,2,6,1.6677
priquit,3.2451,misogynistic,4,2,6,1.6677
luladra,3.2451,misogynistic,4,2,6,1.6677
varr,3.2451,misogynistic,4,2,6,1.6677
pênil,3.2451,misogynistic,4,2,6,1.6677
sap,3.2451,misogynistic,4,2,6,1.6677
mulat,3.2451,misogynistic,4,2,6,1.6677
síri,3.2451,misogynistic,4,2,6,1.6677
rapefuge,3.2451,misogynistic,4,2,6,1.6677
noblat,3.2451,misogynistic,4,2,6,1.6677
glock,3.2451,misogynistic,4,2,6,1.6677
aka,3.2451,misogynistic,4,2,6,1.6677
repórt,3.2275,misogynistic,11,13,24,1.0027
presidi,3.1801,misogynistic,9,10,19,1.0615
vagabund,3.1766,misogynistic,138,259,397,0.5306
contém,3.1328,misogynistic,7,7,14,1.1568
exércit,3.1328,misogynistic,7,7,14,1.1568
mulh_am,3.1328,misogynistic,7,7,14,1.1568
car_dess,3.1096,misogynistic,13,17,30,0.9055
tradic,3.1035,misogynistic,10,12,22,0.9898
explor,3.0835,misogynistic,5,4,9,1.3392
faz_text,3.0835,misogynistic,5,4,9,1.3392
sab_nad,3.0835,misogynistic,5,4,9,1.3392
salar,3.0835,misogynistic,5,4,9,1.3392
dissimul,3.0835,misogynistic,5,4,9,1.3392
pinguç,3.0835,misogynistic,5,4,9,1.3392
dinh_públic,3.0835,misogynistic,5,4,9,1.3392
eleg,3.0783,misogynistic,28,44,72,0.7175
rac,3.0671,misogynistic,49,84,133,0.6262
loir,3.065,misogynistic,14,19,33,0.8692
capet,3.065,misogynistic,14,19,33,0.8692
cov,3.044,misogynistic,31,50,81,0.6908
vai_estud,3.0392,misogynistic,8,9,17,1.0515
envergonh,3.0392,misogynistic,8,9,17,1.0515
roub,3.0,misogynistic,67,121,188,0.5723
bue,2.9921,misogynistic,12,16,28,0.8886
agarr,2.9672,misogynistic,6,6,12,1.1568
vir_put,2.9672,misogynistic,6,6,12,1.1568
cínic,2.9672,misogynistic,6,6,12,1.1568
band_mort,2.9672,misogynistic,6,6,12,1.1568
saque,2.9672,misogynistic,6,6,12,1.1568
feminist,2.9672,misogynistic,6,6,12,1.1568
unir,2.9669,misogynistic,9,11,20,0.9745
val_nad,2.9669,misogynistic,9,11,20,0.9745
latin,2.9669,misogynistic,9,11,20,0.9745
islâm,2.9167,misogynistic,14,20,34,0.8204
prostitut,2.9101,misogynistic,10,13,23,0.9157
tremend,2.8809,misogynistic,7,8,15,1.0391
raparig,2.8809,misogynistic,7,8,15,1.0391
cass,2.8809,misogynistic,7,8,15,1.0391
suj,2.8702,misogynistic,36,62,98,0.6246
propõ,2.8696,misogynistic,4,3,7,1.38
janain,2.8696,misogynistic,4,3,7,1.38
feliz_dia,2.8594,misogynistic,50,90,140,0.5778
pra_mulh,2.8278,misogynistic,12,17,29,0.8314
fak_new,2.8154,misogynistic,8,10,18,0.9562
ach_pod,2.8154,misogynistic,8,10,18,0.9562
surr,2.7978,misogynistic,13,19,32,0.8002
homofób,2.7978,misogynistic,13,19,32,0.8002
manipul,2.7785,misogynistic,22,36,58,0.6814
pilantr,2.7785,misogynistic,22,36,58,0.6814
óle,2.774,misogynistic,5,5,10,1.1568
fic_fam,2.774,misogynistic,5,5,10,1.1568
moc,2.774,misogynistic,5,5,10,1.1568
tão_gord,2.774,misogynistic,5,5,10,1.1568
vir_sapat,2.774,misogynistic,5,5,10,1.1568
acolh_refugi,2.774,misogynistic,5,5,10,1.1568
porqu_vai,2.774,misogynistic,5,5,10,1.1568
femin_faz,2.774,misogynistic,5,5,10,1.1568
non,2.774,misogynistic,5,5,10,1.1568
esquerd_pod,2.774,misogynistic,5,5,10,1.1568
bonit_gord,2.774,misogynistic,5,5,10,1.1568
parasit,2.774,misogynistic,5,5,10,1.1568
xand,2.774,misogynistic,5,5,10,1.1568
naçã_brasil,2.774,misogynistic,5,5,10,1.1568
burr_entend,2.774,misogynistic,5,5,10,1.1568
filh_mar,2.774,misogynistic,5,5,10,1.1568
imp,2.7649,misogynistic,9,12,21,0.8945
atac,2.739,misogynistic,37,66,103,0.5897
zambell,2.7102,misogynistic,18,29,47,0.7001
diz_mulh,2.7006,misogynistic,6,7,13,1.0233
beij_gay,2.7006,misogynistic,6,7,13,1.0233
venezuel,2.6808,misogynistic,22,37,59,0.6547
marg,2.6694,misogynistic,12,18,30,0.7774
louç,2.6694,misogynistic,12,18,30,0.7774
vao,2.6694,misogynistic,12,18,30,0.7774
lul,2.6544,misogynistic,118,240,358,0.4512
queix,2.6454,misogynistic,7,9,16,0.9337
levy,2.6454,misogynistic,7,9,16,0.9337
bbb,2.6454,misogynistic,7,9,16,0.9337
heim,2.6454,misogynistic,7,9,16,0.9337
aind_ach,2.6454,misogynistic,7,9,16,0.9337
cub,2.6111,misogynistic,16,26,42,0.6942
áfric,2.6038,misogynistic,8,11,19,0.8692
irã,2.6038,misogynistic,8,11,19,0.8692
infam,2.5882,misogynistic,3,2,5,1.4445
esclarec,2.5882,misogynistic,3,2,5,1.4445
maracuta,2.5882,misogynistic,3,2,5,1.4445
adormec,2.5882,misogynistic,3,2,5,1.4445
traí,2.5882,misogynistic,3,2,5,1.4445
ptist,2.5882,misogynistic,3,2,5,1.4445
chamas,2.5882,misogynistic,3,2,5,1.4445
criminos,2.5882,misogynistic,3,2,5,1.4445
soror,2.5882,misogynistic,3,2,5,1.4445
bolsomit,2.5882,misogynistic,3,2,5,1.4445
bolsomerd,2.5882,misogynistic,3,2,5,1.4445
gabinet,2.5882,misogynistic,3,2,5,1.4445
misogin,2.5882,misogynistic,3,2,5,1.4445
pronunci,2.5882,misogynistic,3,2,5,1.4445
desmoral,2.5882,misogynistic,3,2,5,1.4445
apó,2.5882,misogynistic,3,2,5,1.4445
mimim,2.5864,misogynistic,21,36,57,0.637
lix_human,2.5723,misogynistic,9,13,22,0.8204
par_fal,2.5483,misogynistic,10,15,25,0.7821
capach,2.5483,misogynistic,10,15,25,0.7821
desprez,2.5483,misogynistic,10,15,25,0.7821
cois_outr,2.5418,misogynistic,4,4,8,1.1568
put_vi,2.5418,misogynistic,4,4,8,1.1568
refugi_nao,2.5418,misogynistic,4,4,8,1.1568
descarad,2.5418,misogynistic,4,4,8,1.1568
mund_mim,2.5418,misogynistic,4,4,8,1.1568
hom_ach,2.5418,misogynistic,4,4,8,1.1568
ajud_gent,2.5418,misogynistic,4,4,8,1.1568
mesquit,2.5418,misogynistic,4,4,8,1.1568
fidel,2.5418,misogynistic,4,4,8,1.1568
orient_médi,2.5418,misogynistic,4,4,8,1.1568
pod_tir,2.5418,misogynistic,4,4,8,1.1568
vener,2.5418,misogynistic,4,4,8,1.1568
porr_agor,2.5418,misogynistic,4,4,8,1.1568
fal_cas,2.5418,misogynistic,4,4,8,1.1568
deput_sen,2.5418,misogynistic,4,4,8,1.1568
vagin,2.5418,misogynistic,4,4,8,1.1568
lix_lix,2.5418,misogynistic,4,4,8,1.1568
maior_brasil,2.5418,misogynistic,4,4,8,1.1568
cham_mulh,2.5418,misogynistic,4,4,8,1.1568
intervenç_milit,2.5418,misogynistic,4,4,8,1.1568
sab_real,2.5418,misogynistic,4,4,8,1.1568
ambul,2.5418,misogynistic,4,4,8,1.1568
tud_menos,2.5418,misogynistic,4,4,8,1.1568
vc_pens,2.5418,misogynistic,4,4,8,1.1568
cri_lei,2.5418,misogynistic,4,4,8,1.1568
acrescent,2.5418,misogynistic,4,4,8,1.1568
poss_cham,2.5418,misogynistic,4,4,8,1.1568
ano_mulh,2.5418,misogynistic,4,4,8,1.1568
cas_pai,2.5418,misogynistic,4,4,8,1.1568
ideológ,2.5418,misogynistic,4,4,8,1.1568
dia_tav,2.5418,misogynistic,4,4,8,1.1568
chantag,2.5418,misogynistic,4,4,8,1.1568
mulh_deix,2.5418,misogynistic,4,4,8,1.1568
cavalg,2.5418,misogynistic,4,4,8,1.1568
qu_com,2.5418,misogynistic,4,4,8,1.1568
crista,2.5418,misogynistic,4,4,8,1.1568
bem_sapat,2.5418,misogynistic,4,4,8,1.1568
mulh_respeit,2.5418,misogynistic,4,4,8,1.1568
dia_put,2.5418,misogynistic,4,4,8,1.1568
except,2.5418,misogynistic,4,4,8,1.1568
capach_esquerd,2.5418,misogynistic,4,4,8,1.1568
po,2.5418,misogynistic,4,4,8,1.1568
pra_acontec,2.5418,misogynistic,4,4,8,1.1568
hor_put,2.5418,misogynistic,4,4,8,1.1568
chifrud,2.5418,misogynistic,4,4,8,1.1568
deplor,2.5418,misogynistic,4,4,8,1.1568
melhor_fras,2.5418,misogynistic,4,4,8,1.1568
vand,2.5418,misogynistic,4,4,8,1.1568
clar_pod,2.5418,misogynistic,4,4,8,1.1568
jud,2.5301,misogynistic,11,17,28,0.7514
new,2.5146,misogynistic,29,53,82,0.5691
estupr,2.4931,misogynistic,23,41,64,0.5972
ous,2.4916,misogynistic,5,6,11,1.0027
fal_burr,2.4916,misogynistic,5,6,11,1.0027
tod_ra,2.4916,misogynistic,5,6,11,1.0027
alhei,2.4916,misogynistic,5,6,11,1.0027
suec,2.4916,misogynistic,5,6,11,1.0027
grand_merd,2.4916,misogynistic,5,6,11,1.0027
implant,2.4916,misogynistic,5,6,11,1.0027
atriz,2.4916,misogynistic,5,6,11,1.0027
hom_gost,2.4522,misogynistic,6,8,14,0.9055
bof,2.4522,misogynistic,6,8,14,0.9055
consid,2.4522,misogynistic,6,8,14,0.9055
pra_escol,2.4522,misogynistic,6,8,14,0.9055
levy_fidelix,2.4522,misogynistic,6,8,14,0.9055
país_int,2.4522,misogynistic,6,8,14,0.9055
pervers,2.4522,misogynistic,6,8,14,0.9055
coronel,2.4232,misogynistic,7,10,17,0.8384
virgem,2.4232,misogynistic,7,10,17,0.8384
cint,2.4025,misogynistic,8,12,20,0.7891
rum,2.3879,misogynistic,9,14,23,0.7514
gag,2.378,misogynistic,10,16,26,0.7215
quadrilh,2.3779,misogynistic,18,32,50,0.6048
quint,2.3717,misogynistic,11,18,29,0.6973
negr,2.3166,misogynistic,75,157,232,0.425
prend,2.3094,misogynistic,37,73,110,0.4904
diab,2.3068,misogynistic,22,41,63,0.5547
mentir,2.298,misogynistic,21,39,60,0.559
inseg,2.2511,misogynistic,3,3,6,1.1568
máf,2.2511,misogynistic,3,3,6,1.1568
encarn,2.2511,misogynistic,3,3,6,1.1568
goxt,2.2511,misogynistic,3,3,6,1.1568
cagaç,2.2511,misogynistic,3,3,6,1.1568
territóri,2.2511,misogynistic,3,3,6,1.1568
inútel,2.2511,misogynistic,3,3,6,1.1568
contraditóri,2.2511,misogynistic,3,3,6,1.1568
donzel,2.2511,misogynistic,3,3,6,1.1568
sabot,2.2511,misogynistic,3,3,6,1.1568
papagai,2.2511,misogynistic,3,3,6,1.1568
ivo,2.2511,misogynistic,3,3,6,1.1568
lançaperfum,2.2511,misogynistic,3,3,6,1.1568
lenh,2.2511,misogynistic,3,3,6,1.1568
welcom,2.2511,misogynistic,3,3,6,1.1568
ada,2.2511,misogynistic,3,3,6,1.1568
fazers,2.2511,misogynistic,3,3,6,1.1568
bunda,2.2511,misogynistic,3,3,6,1.1568
isla,2.2511,misogynistic,3,3,6,1.1568
havan,2.2511,misogynistic,3,3,6,1.1568
sélf,2.2511,misogynistic,3,3,6,1.1568
guit,2.2511,misogynistic,3,3,6,1.1568
islã,2.2511,misogynistic,3,3,6,1.1568
linguiç,2.2511,misogynistic,3,3,6,1.1568
transgêner,2.2511,misogynistic,3,3,6,1.1568
nua,2.2511,misogynistic,3,3,6,1.1568
simon,2.2511,misogynistic,3,3,6,1.1568
ilud,2.2463,misogynistic,15,27,42,0.5972
tud_dentr,2.2439,misogynistic,4,5,9,0.9745
sard,2.2439,misogynistic,4,5,9,0.9745
sab_ter,2.2439,misogynistic,4,5,9,0.9745
tod_fal,2.2439,misogynistic,4,5,9,0.9745
tr_mulh,2.2439,misogynistic,4,5,9,0.9745
profet,2.2439,misogynistic,4,5,9,0.9745
rora,2.2439,misogynistic,4,5,9,0.9745
pod_aceit,2.2439,misogynistic,4,5,9,0.9745
índol,2.2439,misogynistic,4,5,9,0.9745
cav,2.2439,misogynistic,4,5,9,0.9745
mund_send,2.2439,misogynistic,4,5,9,0.9745
vié,2.2439,misogynistic,4,5,9,0.9745
vam_deix,2.2439,misogynistic,4,5,9,0.9745
es,2.2439,misogynistic,4,5,9,0.9745
pod_pra,2.2439,misogynistic,4,5,9,0.9745
mulh_qu,2.2439,misogynistic,4,5,9,0.9745
faz_vid,2.2439,misogynistic,4,5,9,0.9745
patrocin,2.2439,misogynistic,4,5,9,0.9745
ach_ruim,2.2439,misogynistic,4,5,9,0.9745
uol,2.2293,misogynistic,5,7,12,0.8692
prote,2.2293,misogynistic,5,7,12,0.8692
brut,2.2293,misogynistic,5,7,12,0.8692
vir_hom,2.2293,misogynistic,5,7,12,0.8692
financi,2.2293,misogynistic,5,7,12,0.8692
ach_melhor,2.2293,misogynistic,5,7,12,0.8692
lut_pra,2.2293,misogynistic,5,7,12,0.8692
magrel,2.2293,misogynistic,5,7,12,0.8692
descar,2.2293,misogynistic,5,7,12,0.8692
tom_cont,2.2293,misogynistic,5,7,12,0.8692
graç_femin,2.2293,misogynistic,5,7,12,0.8692
fabric,2.2293,misogynistic,5,7,12,0.8692
infiltr,2.2293,misogynistic,5,7,12,0.8692
milíc,2.2185,misogynistic,6,9,15,0.8002
milion,2.2185,misogynistic,6,9,15,0.8002
sra,2.2185,misogynistic,6,9,15,0.8002
vál,2.2185,misogynistic,6,9,15,0.8002
froux,2.2185,misogynistic,6,9,15,0.8002
trev,2.2185,misogynistic,6,9,15,0.8002
lav_louç,2.2124,misogynistic,7,11,18,0.7514
reproduz,2.2124,misogynistic,7,11,18,0.7514
úter,2.2124,misogynistic,7,11,18,0.7514
qu_fic,2.2101,misogynistic,8,13,21,0.715
pris,2.1804,misogynistic,19,36,55,0.5417
pobr,2.1731,misogynistic,40,82,122,0.4516
porc,2.1228,misogynistic,27,54,81,0.4817
gad,2.1132,misogynistic,14,26,40,0.5691
robert,2.1132,misogynistic,14,26,40,0.5691
defês,2.099,misogynistic,13,24,37,0.577
bost,2.0965,misogynistic,53,113,166,0.4096
tax,2.0698,misogynistic,11,20,31,0.5972
desrespeit,2.0403,misogynistic,9,16,25,0.6262
politic_corret,2.0403,misogynistic,9,16,25,0.6262
lasc,2.0256,misogynistic,8,14,22,0.646
fiel,2.0256,misogynistic,8,14,22,0.646
fal_bost,2.0111,misogynistic,7,12,19,0.6713
assassinat,2.0111,misogynistic,7,12,19,0.6713
aposent,2.0111,misogynistic,7,12,19,0.6713
dess_mulh,1.997,misogynistic,6,10,16,0.7049
femin_defend,1.997,misogynistic,6,10,16,0.7049
fidelix,1.997,misogynistic,6,10,16,0.7049
miniom,1.997,misogynistic,6,10,16,0.7049
pátr,1.991,misogynistic,14,27,41,0.5327
mulh_fei,1.9829,misogynistic,5,8,13,0.7514
penal,1.9829,misogynistic,5,8,13,0.7514
playboy,1.9829,misogynistic,5,8,13,0.7514
viol_mulh,1.9829,misogynistic,5,8,13,0.7514
quer_car,1.9829,misogynistic,5,8,13,0.7514
refém,1.9829,misogynistic,5,8,13,0.7514
mariell,1.9829,misogynistic,5,8,13,0.7514
pedofil,1.9829,misogynistic,5,8,13,0.7514
vai_quer,1.9829,misogynistic,5,8,13,0.7514
talar,1.9671,misogynistic,4,6,10,0.8204
genocídi,1.9671,misogynistic,4,6,10,0.8204
cabec,1.9671,misogynistic,4,6,10,0.8204
dess_aind,1.9671,misogynistic,4,6,10,0.8204
stalin,1.9671,misogynistic,4,6,10,0.8204
pest,1.9671,misogynistic,4,6,10,0.8204
perseg,1.9671,misogynistic,4,6,10,0.8204
distorc,1.9671,misogynistic,4,6,10,0.8204
car_nao,1.9671,misogynistic,4,6,10,0.8204
quil_diz,1.9671,misogynistic,4,6,10,0.8204
travec,1.9671,misogynistic,4,6,10,0.8204
fuzil,1.9671,misogynistic,4,6,10,0.8204
vão_par,1.9671,misogynistic,4,6,10,0.8204
famíl_bolsonar,1.9671,misogynistic,4,6,10,0.8204
pra_hom,1.9671,misogynistic,4,6,10,0.8204
vi_assim,1.9671,misogynistic,4,6,10,0.8204
dess_hom,1.9671,misogynistic,4,6,10,0.8204
macumb,1.9671,misogynistic,4,6,10,0.8204
ced_pra,1.9671,misogynistic,4,6,10,0.8204
surd,1.9671,misogynistic,4,6,10,0.8204
tod_refugi,1.9671,misogynistic,4,6,10,0.8204
vegetari,1.9671,misogynistic,4,6,10,0.8204
