term,score,polarity,freq_misogynistic,freq_non_misogynistic,total_freq
namor,0.0014,misogynistic,24,87,111
pris,0.0013,misogynistic,20,34,54
própri,0.0013,misogynistic,27,140,167
trump,0.0013,misogynistic,28,157,185
bonit,0.0013,misogynistic,41,327,368
mentir,0.0013,misogynistic,20,38,58
esquerdalh,0.0013,misogynistic,17,10,27
mimim,0.0013,misogynistic,19,35,54
manifest,0.0013,misogynistic,21,63,84
joaquinrespond,0.0013,misogynistic,19,35,54
públic,0.0013,misogynistic,25,114,139
apoi,0.0013,misogynistic,28,147,175
mesm,0.0012,misogynistic,38,313,351
carát,0.0012,misogynistic,20,67,87
cult,0.0012,misogynistic,21,72,93
mostr,0.0012,misogynistic,29,191,220
process,0.0012,misogynistic,21,78,99
jument,0.0012,misogynistic,16,11,27
masterchefbr,0.0012,misogynistic,17,27,44
lament,0.0012,misogynistic,18,38,56
ministr,0.0012,misogynistic,37,288,325
zambell,0.0012,misogynistic,18,32,50
represent,0.0012,misogynistic,21,76,97
intelig,0.0012,misogynistic,24,117,141
criat,0.0012,misogynistic,17,14,31
únic,0.0012,misogynistic,30,202,232
diab,0.0012,misogynistic,19,45,64
bast,0.0012,misogynistic,24,119,143
human,0.0012,misogynistic,28,170,198
diss,0.0012,misogynistic,57,557,614
palavr,0.0012,misogynistic,30,192,222
cretin,0.0012,misogynistic,17,23,40
babac,0.0012,misogynistic,34,244,278
pilantr,0.0012,misogynistic,18,26,44
