modelo,fonte,f1_misog,f1_std,prec_misog,prec_std,rec_misog,rec_std
SVM (LinearSVC),cv_treino,0.5294337842258091,0.005968271771411527,0.4400747102559253,0.005996159908568111,0.6643442043056397,0.005231574405987483
Regressão Logística,cv_treino,0.554259063757995,0.003986586898671989,0.4562071982200901,0.003926518224389254,0.7060039467861238,0.0035669041290553455
Random Forest,cv_treino,0.4771475421987487,0.0025499308090783344,0.4103693534794021,0.0021560626141155412,0.5699364630654878,0.0063140114134551985
MLP (proxy RNN),cv_treino,0.466607788684611,0.016674816707776652,0.6390666118102362,0.013426902924808144,0.36845145091805676,0.024248014952428624
SVM (LinearSVC),teste,0.8705882352941177,,0.9098360655737705,,0.8345864661654135,
Regressão Logística,teste,0.8455284552845529,,0.9203539823008849,,0.7819548872180451,
Random Forest,teste,0.5596330275229358,,0.7176470588235294,,0.45864661654135336,
MLP (proxy RNN),teste,0.5056179775280899,,1.0,,0.3383458646616541,
