term,categoria_sugerida,nome_sugerido,anotador1_eh_misogino,anotador1_categoria,anotador2_eh_misogino,anotador2_categoria,anotador3_eh_misogino,anotador3_categoria,comentarios
saquear,4,Ameaças de Violência,,,,,,,
breno,,,,,,,,,
investidor,,,,,,,,,
mula,3,Assédio Sexual,,,,,,,
traidor,,,,,,,,,
custa,,,,,,,,,
vetar,,,,,,,,,
acusar,4,Ameaças de Violência,,,,,,,
revolução,9,Neossexismo,,,,,,,
neto,,,,,,,,,
queiroz,,,,,,,,,
droga,,,,,,,,,
atrapalhar,4,Ameaças de Violência,,,,,,,
suportar,4,Ameaças de Violência,,,,,,,
fruto,,,,,,,,,
bloquear,4,Ameaças de Violência,,,,,,,
patriota,11,Violência Política Digital,,,,,,,
câmara,,,,,,,,,
maconheiro,,,,,,,,,
impeachment,11,Violência Política Digital,,,,,,,
deputada,11,Violência Política Digital,,,,,,,
obama,,,,,,,,,
isenção,,,,,,,,,
verme,,,,,,,,,
mente,2,Estereotipização,,,,,,,
adiantar,4,Ameaças de Violência,,,,,,,
infeliz,1,Descrédito,,,,,,,
figura,,,,,,,,,
cretino,1,Descrédito,,,,,,,
cela,,,,,,,,,
dir,,,,,,,,,
proteger,4,Ameaças de Violência,,,,,,,
inimigo,4,Ameaças de Violência,,,,,,,
destruição,,,,,,,,,
presa,4,Ameaças de Violência,,,,,,,
abusar,4,Ameaças de Violência,,,,,,,
patrocinar,,,,,,,,,
damar,,,,,,,,,
asneira,1,Descrédito,,,,,,,
envergonhar,4,Ameaças de Violência,,,,,,,
cuidado,,,,,,,,,
bue,,,,,,,,,
favorecer,,,,,,,,,
elegeur,,,,,,,,,
alcolumbre,,,,,,,,,
banqueiro,,,,,,,,,
íntegra,,,,,,,,,
cinismo,9,Neossexismo,,,,,,,
noblat,,,,,,,,,
bandida,3,Assédio Sexual,,,,,,,
pudor,,,,,,,,,
incitar,4,Ameaças de Violência,,,,,,,
aborteira,,,,,,,,,
pude,,,,,,,,,
ladroes,,,,,,,,,
jumento,,,,,,,,,
gagá,,,,,,,,,
oportunista,11,Violência Política Digital,,,,,,,
quintal,,,,,,,,,
orcrim,,,,,,,,,
implantar,,,,,,,,,
ferreira,11,Violência Política Digital,,,,,,,
lembr,,,,,,,,,
legislativo,11,Violência Política Digital,,,,,,,
impune,,,,,,,,,
media,,,,,,,,,
capim,,,,,,,,,
bonitinha,3,Assédio Sexual,,,,,,,
baderneiro,,,,,,,,,
mocinha,3,Assédio Sexual,,,,,,,
chef,,,,,,,,,
socialista,11,Violência Política Digital,,,,,,,
bolsonarotemrazao,,,,,,,,,
manifestante,11,Violência Política Digital,,,,,,,
rebelde,1,Descrédito,,,,,,,
cúmplice,1,Descrédito,,,,,,,
protagonista,9,Neossexismo,,,,,,,
pig,,,,,,,,,
marcha,,,,,,,,,
íntegro,,,,,,,,,
reager,,,,,,,,,
master,,,,,,,,,
fanático,1,Descrédito,,,,,,,
facção,11,Violência Política Digital,,,,,,,
emma,,,,,,,,,
ira,,,,,,,,,
hetero,9,Neossexismo,,,,,,,
mimimi,6,Derailing,,,,,,,
ignorante,1,Descrédito,,,,,,,
governo,11,Violência Política Digital,,,,,,,
política,11,Violência Política Digital,,,,,,,
